,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
155,candidate_Andy Montroll,candidate_Bob Kiss,candidate_James Simpson,candidate_Dan Smith,candidate_Kurt Wright
156,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
157,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,candidate_Kurt Wright,0
158,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Kurt Wright,0
159,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,0,0
161,candidate_Dan Smith,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Bob Kiss,candidate_James Simpson
162,candidate_Andy Montroll,candidate_Kurt Wright,0,0,0
163,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith,candidate_Kurt Wright
164,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson,0
165,candidate_Andy Montroll,candidate_Bob Kiss,0,0,0
166,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
167,candidate_Kurt Wright,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith,candidate_Bob Kiss
168,candidate_Kurt Wright,0,0,0,0
169,candidate_Kurt Wright,candidate_Dan Smith,0,0,0
171,candidate_Kurt Wright,0,0,0,0
172,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Kurt Wright,0,0
173,candidate_Dan Smith,candidate_Bob Kiss,candidate_Andy Montroll,0,0
174,candidate_Bob Kiss,candidate_Dan Smith,candidate_Kurt Wright,candidate_Andy Montroll,0
175,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
177,candidate_Andy Montroll,candidate_Bob Kiss,candidate_James Simpson,candidate_Dan Smith,candidate_Kurt Wright
178,candidate_Bob Kiss,candidate_James Simpson,candidate_Dan Smith,candidate_Kurt Wright,0
179,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith,0
180,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,candidate_James Simpson,candidate_Kurt Wright
181,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Kurt Wright,0
182,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson,candidate_Bob Kiss,candidate_Kurt Wright
183,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Dan Smith,0,0
184,candidate_Andy Montroll,candidate_Bob Kiss,0,0,0
185,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,candidate_Kurt Wright
186,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson,candidate_Bob Kiss,candidate_Kurt Wright
187,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith
188,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Dan Smith,candidate_James Simpson
189,candidate_Bob Kiss,candidate_Dan Smith,candidate_Kurt Wright,candidate_Andy Montroll,0
190,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Dan Smith,0
191,candidate_Bob Kiss,0,0,0,0
192,candidate_Andy Montroll,candidate_Bob Kiss,0,0,0
193,candidate_Bob Kiss,0,0,0,0
194,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,candidate_James Simpson
195,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson
196,candidate_Kurt Wright,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,0
197,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Dan Smith,0,0
198,candidate_Dan Smith,candidate_Kurt Wright,0,0,0
199,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Kurt Wright,candidate_James Simpson,candidate_Dan Smith
200,candidate_Bob Kiss,candidate_Dan Smith,candidate_Kurt Wright,candidate_Andy Montroll,0
201,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,0,0
202,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,0,0
203,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,candidate_James Simpson
205,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Dan Smith,0
206,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,candidate_Bob Kiss
207,candidate_Kurt Wright,candidate_Dan Smith,candidate_Bob Kiss,0,0
208,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,candidate_Kurt Wright
209,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Dan Smith,0
210,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,candidate_Kurt Wright,0
211,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
212,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,0,0
213,candidate_Andy Montroll,0,0,0,0
214,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,0,0
215,candidate_Dan Smith,candidate_Kurt Wright,candidate_James Simpson,candidate_Andy Montroll,candidate_Bob Kiss
216,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,candidate_Kurt Wright,candidate_James Simpson
217,candidate_Kurt Wright,0,0,0,0
218,candidate_Andy Montroll,candidate_James Simpson,candidate_Bob Kiss,candidate_Dan Smith,0
219,candidate_Kurt Wright,0,0,0,0
220,candidate_Kurt Wright,0,0,0,0
221,candidate_Kurt Wright,0,0,0,0
222,candidate_Kurt Wright,0,0,0,0
223,candidate_Andy Montroll,candidate_Bob Kiss,candidate_James Simpson,0,0
224,candidate_Kurt Wright,0,0,0,0
225,candidate_Kurt Wright,0,0,0,0
226,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,0,0
227,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
228,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Dan Smith,0,0
229,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,candidate_James Simpson
230,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,candidate_Bob Kiss,candidate_Kurt Wright
